Euler Implicito Punto C4.txt
SOLUCION PARA EULER IMPLICITO 
Paso = 1.00
Año: 1
U0 = 1.260000  T = 0.0  MES = 1.0
U1 = 1.327083  T = 1.00  MES = 2.00 Iteraciones hechas con Newton Raphson: 3
U2 = 1.384892  T = 2.00  MES = 3.00 Iteraciones hechas con Newton Raphson: 3
U3 = 1.434709  T = 3.00  MES = 4.00 Iteraciones hechas con Newton Raphson: 3
U4 = 1.477638  T = 4.00  MES = 5.00 Iteraciones hechas con Newton Raphson: 3
U5 = 1.514626  T = 5.00  MES = 6.00 Iteraciones hechas con Newton Raphson: 3
U6 = 3.016876  T = 6.00  MES = 7.00 Iteraciones hechas con Newton Raphson: 3
U7 = 2.809249  T = 7.00  MES = 8.00 Iteraciones hechas con Newton Raphson: 3
U8 = 2.631497  T = 8.00  MES = 9.00 Iteraciones hechas con Newton Raphson: 3
U9 = 2.479169  T = 9.00  MES = 10.00 Iteraciones hechas con Newton Raphson: 3
U10 = 2.348527  T = 10.00  MES = 11.00 Iteraciones hechas con Newton Raphson: 3
U11 = 2.236414  T = 11.00  MES = 12.00 Iteraciones hechas con Newton Raphson: 3
Año: 2
U12 = 2.507620  T = 12.00  MES = 1.00 Iteraciones hechas con Newton Raphson: 3
U13 = 2.398357  T = 13.00  MES = 2.00 Iteraciones hechas con Newton Raphson: 3
U14 = 2.304852  T = 14.00  MES = 3.00 Iteraciones hechas con Newton Raphson: 3
U15 = 2.224808  T = 15.00  MES = 4.00 Iteraciones hechas con Newton Raphson: 3
U16 = 2.156257  T = 16.00  MES = 5.00 Iteraciones hechas con Newton Raphson: 3
U17 = 2.097522  T = 17.00  MES = 6.00 Iteraciones hechas con Newton Raphson: 3
U18 = 3.517556  T = 18.00  MES = 7.00 Iteraciones hechas con Newton Raphson: 3
U19 = 3.235944  T = 19.00  MES = 8.00 Iteraciones hechas con Newton Raphson: 3
U20 = 2.995699  T = 20.00  MES = 9.00 Iteraciones hechas con Newton Raphson: 3
U21 = 2.790379  T = 21.00  MES = 10.00 Iteraciones hechas con Newton Raphson: 3
U22 = 2.614677  T = 22.00  MES = 11.00 Iteraciones hechas con Newton Raphson: 3
U23 = 2.464170  T = 23.00  MES = 12.00 Iteraciones hechas con Newton Raphson: 3
Año: 3
U24 = 2.703072  T = 24.00  MES = 1.00 Iteraciones hechas con Newton Raphson: 3
U25 = 2.564364  T = 25.00  MES = 2.00 Iteraciones hechas con Newton Raphson: 3
U26 = 2.445948  T = 26.00  MES = 3.00 Iteraciones hechas con Newton Raphson: 3
U27 = 2.344800  T = 27.00  MES = 4.00 Iteraciones hechas con Newton Raphson: 3
U28 = 2.258341  T = 28.00  MES = 5.00 Iteraciones hechas con Newton Raphson: 3
U29 = 2.184388  T = 29.00  MES = 6.00 Iteraciones hechas con Newton Raphson: 3
U30 = 3.595057  T = 30.00  MES = 7.00 Iteraciones hechas con Newton Raphson: 3
U31 = 3.300884  T = 31.00  MES = 8.00 Iteraciones hechas con Newton Raphson: 3
U32 = 3.050217  T = 32.00  MES = 9.00 Iteraciones hechas con Newton Raphson: 3
U33 = 2.836200  T = 33.00  MES = 10.00 Iteraciones hechas con Newton Raphson: 3
U34 = 2.653210  T = 34.00  MES = 11.00 Iteraciones hechas con Newton Raphson: 3
U35 = 2.496577  T = 35.00  MES = 12.00 Iteraciones hechas con Newton Raphson: 3
Año: 4
U36 = 2.731216  T = 36.00  MES = 1.00 Iteraciones hechas con Newton Raphson: 3
U37 = 2.586963  T = 37.00  MES = 2.00 Iteraciones hechas con Newton Raphson: 3
U38 = 2.464052  T = 38.00  MES = 3.00 Iteraciones hechas con Newton Raphson: 3
U39 = 2.359261  T = 39.00  MES = 4.00 Iteraciones hechas con Newton Raphson: 3
U40 = 2.269839  T = 40.00  MES = 5.00 Iteraciones hechas con Newton Raphson: 3
U41 = 2.193472  T = 41.00  MES = 6.00 Iteraciones hechas con Newton Raphson: 3
U42 = 3.606478  T = 42.00  MES = 7.00 Iteraciones hechas con Newton Raphson: 3
U43 = 3.309483  T = 43.00  MES = 8.00 Iteraciones hechas con Newton Raphson: 3
U44 = 3.056599  T = 44.00  MES = 9.00 Iteraciones hechas con Newton Raphson: 3
U45 = 2.840833  T = 45.00  MES = 10.00 Iteraciones hechas con Newton Raphson: 3
U46 = 2.656461  T = 46.00  MES = 11.00 Iteraciones hechas con Newton Raphson: 3
U47 = 2.498734  T = 47.00  MES = 12.00 Iteraciones hechas con Newton Raphson: 3
Año: 5
U48 = 2.733499  T = 48.00  MES = 1.00 Iteraciones hechas con Newton Raphson: 3
U49 = 2.587413  T = 49.00  MES = 2.00 Iteraciones hechas con Newton Raphson: 3
U50 = 2.463174  T = 50.00  MES = 3.00 Iteraciones hechas con Newton Raphson: 3
U51 = 2.357444  T = 51.00  MES = 4.00 Iteraciones hechas con Newton Raphson: 3
U52 = 2.267374  T = 52.00  MES = 5.00 Iteraciones hechas con Newton Raphson: 3
U53 = 2.190573  T = 53.00  MES = 6.00 Iteraciones hechas con Newton Raphson: 3
U54 = 3.607751  T = 54.00  MES = 7.00 Iteraciones hechas con Newton Raphson: 3
U55 = 3.309431  T = 55.00  MES = 8.00 Iteraciones hechas con Newton Raphson: 3
U56 = 3.055591  T = 56.00  MES = 9.00 Iteraciones hechas con Newton Raphson: 3
U57 = 2.839144  T = 57.00  MES = 10.00 Iteraciones hechas con Newton Raphson: 3
U58 = 2.654296  T = 58.00  MES = 11.00 Iteraciones hechas con Newton Raphson: 3
U59 = 2.496249  T = 59.00  MES = 12.00 Iteraciones hechas con Newton Raphson: 3
Año: 6
U60 = 2.731824  T = 60.00  MES = 1.00 Iteraciones hechas con Newton Raphson: 3
U61 = 2.584465  T = 61.00  MES = 2.00 Iteraciones hechas con Newton Raphson: 3
U62 = 2.459378  T = 62.00  MES = 3.00 Iteraciones hechas con Newton Raphson: 3
U63 = 2.353122  T = 63.00  MES = 4.00 Iteraciones hechas con Newton Raphson: 3
U64 = 2.262759  T = 64.00  MES = 5.00 Iteraciones hechas con Newton Raphson: 3
U65 = 2.185829  T = 65.00  MES = 6.00 Iteraciones hechas con Newton Raphson: 3
U66 = 3.607484  T = 66.00  MES = 7.00 Iteraciones hechas con Newton Raphson: 3
U67 = 3.308063  T = 67.00  MES = 8.00 Iteraciones hechas con Newton Raphson: 3
U68 = 3.053455  T = 68.00  MES = 9.00 Iteraciones hechas con Newton Raphson: 3
U69 = 2.836487  T = 69.00  MES = 10.00 Iteraciones hechas con Newton Raphson: 3
U70 = 2.651302  T = 70.00  MES = 11.00 Iteraciones hechas con Newton Raphson: 3
U71 = 2.493052  T = 71.00  MES = 12.00 Iteraciones hechas con Newton Raphson: 3
Año: 7
U72 = 2.729551  T = 72.00  MES = 1.00 Iteraciones hechas con Newton Raphson: 3
U73 = 2.580991  T = 73.00  MES = 2.00 Iteraciones hechas con Newton Raphson: 3
U74 = 2.455126  T = 74.00  MES = 3.00 Iteraciones hechas con Newton Raphson: 3
U75 = 2.348405  T = 75.00  MES = 4.00 Iteraciones hechas con Newton Raphson: 3
U76 = 2.257802  T = 76.00  MES = 5.00 Iteraciones hechas con Newton Raphson: 3
U77 = 2.180790  T = 77.00  MES = 6.00 Iteraciones hechas con Newton Raphson: 3
